Name,Generic Name,Strength,Form,Price,Manufacturer,Category,Description
Cetirizine 10mg,Cetirizine,10mg,Tablet,12,AllergyCare Ltd,Antihistamine,Used for allergy relief
Metformin 500mg,Metformin,500mg,Tablet,18,Diabetex Pharma,Antidiabetic,Controls blood sugar in type 2 diabetes
Azithromycin 250mg,Azithromycin,250mg,Capsule,30,MacroMed,Antibiotic,Treats bacterial infections
Losartan 50mg,Losartan,50mg,Tablet,20,HeartSafe Pharma,Antihypertensive,Controls high blood pressure
Loratadine 10mg,Loratadine,10mg,Tablet,11,ClearAll Pharma,Antihistamine,Relieves allergy symptoms
Omeprazole 20mg,Omeprazole,20mg,Capsule,22,GastroGuard,Antacid,Reduces stomach acid
Levothyroxine 50mcg,Levothyroxine,50mcg,Tablet,14,ThyroHealth,Thyroid Hormone,Treats hypothyroidism
Diclofenac 50mg,Diclofenac,50mg,Tablet,16,PainBlock,NSAID,Reduces inflammation and pain
Clarithromycin 500mg,Clarithromycin,500mg,Tablet,35,MacroMed,Antibiotic,Used to treat respiratory and skin infections
Ranitidine 150mg,Ranitidine,150mg,Tablet,13,AcidCare,Antacid,Used to treat and prevent ulcers
